State Name,County Name,Date,ae_error,vae_error,if_score,aqi_category,ae_rank,State Code,County Code,co_mean,co_max,so2_mean,so2_max,no2_mean,no2_max,o3_mean,o3_max,pm25_frm_fem_mass_mean,pm25_frm_fem_mass_max,pm25_non_frm_fem_mass_mean,pm25_non_frm_fem_mass_max,pm10_mass_mean,pm10_mass_max,pmc_mass_mean,pmc_mass_max,pm25_speciation_mean,pm25_speciation_max,pm10_speciation_mean,pm10_speciation_max,aqi_lag1,aqi_lag2,aqi_lag3
arkansas,washington,2025-03-14,8.178032,7.5873146,0.6432789133659736,Moderate,1,5.0,143.0,0.1919836912250672,0.3097100931517389,0.8510598843954418,1.8111693631968209,4.327636037404361,11.540146175508074,0.0437945,0.049,17.1,17.1,47.32447311684523,163.18804049017822,34.0,34.0,233.55578980950085,930.248907887146,198.525,747.0,313.87815352695304,1365.3138323326225,49.0,49.0,49.0
texas,el paso,2025-03-06,4.175579,14.2596,0.7579083935351919,Hazardous,2,48.0,141.0,0.42937125,0.8,0.628261,1.5,18.165679500000003,37.3,0.0342965,0.045,120.924728375,958.0,3.719063547146205,55.03638546321323,529.0,555.0,364.3875,3277.3,199.35551938732172,533.9454979955301,529.3914775,5162.3,208.0,383.0,1059.0
texas,el paso,2025-03-18,4.1222725,8.968415,0.7067434500910589,Hazardous,3,48.0,141.0,0.25497375,0.6,0.030952,0.2,4.18875,15.0,0.0406666666666666,0.051,181.848447125,820.6,2.9851925211836483,7.214899542261114,1521.5,2063.0,1845.8875,6885.3,201.61365149425717,544.7322200821424,1522.233587,8141.7,74.0,42.0,56.0
ohio,scioto,2025-03-06,3.6665173,6.4432697,0.6098454772945837,Very Unhealthy,4,39.0,145.0,0.1819494200372006,0.3223089164599697,0.22395825,1.0,2.616670322753601,7.037260538612008,0.0273082169904699,0.036082042048927,47.2333335,1106.1,4.444675911398909,11.511112826107958,82.2,381.0,3.9089713561336255,9.30557384170511,38.22788104268363,85.98266115720324,82.7567394,7225.1,36.0,54.0,38.0
texas,el paso,2025-01-07,3.4694386,4.4956117,0.6384823031679092,Very Unhealthy,5,48.0,141.0,0.294646,0.5,0.2458334999999999,0.5,7.9520835,20.6,0.0289928333333333,0.033,18.585335571428573,118.2,4.024265111246653,6.434455058716776,148.4,412.0,21.9036390761133,91.98736147201028,18.079098846153844,671.0,412.295833,1790.9,54.0,64.0,158.0
texas,el paso,2025-04-01,3.3028216,4.6038036,0.7297382718115193,Hazardous,6,48.0,141.0,0.227453,0.5,0.0736025,0.5,8.0046585,24.7,0.0401119999999999,0.051,127.990771125,599.0,5.118801399224627,34.737119682426496,1062.2,1361.0,1006.1,3459.0,20.146877448717948,660.0,723.5237010000001,4653.1,68.0,73.0,223.0
missouri,st. louis city,2025-03-14,3.1407201,7.731622,0.6913432918228969,Hazardous,7,29.0,510.0,0.2012915,0.337,0.1416665,0.6,5.625,12.5,0.041412,0.05,23.11388893333333,407.1,16.141672457082052,38.81020832421669,444.5,818.0,54.716667,166.1,19.64582207317073,736.0,77.88589445833334,5791.4,85.0,74.0,93.0
new mexico,dona ana,2025-03-18,2.9925315,14.905637,0.7222264600843609,Hazardous,8,35.0,13.0,0.2512165302181078,0.5909490940052349,0.0375605724718448,0.2192792466382868,1.813949,6.4,0.0449177999999999,0.052,188.7481341,1137.0,2.9193552035074624,7.167920938060398,305.0,423.0,1804.606022031085,6755.784950653904,204.72206928925857,553.1331738240342,325.051228,2324.0,105.0,44.0,90.0
colorado,prowers,2025-03-14,2.9270465,11.29858,0.7166485499957083,Hazardous,9,8.0,99.0,0.1820868162030597,0.3209455583383283,0.4063485853608414,0.7323027111786505,5.780386234142174,19.368890606229684,0.0430723227730157,0.0504101812439459,68.4,677.4,25.979302065383635,96.10777783084669,741.0,741.0,83.25330165914914,389.8275625132964,62.68292328563664,620.1087107032441,741.36087,8415.8,22.0,38.0,19.0
iowa,polk,2025-03-14,2.4532397,2.764489,0.6390653167904069,Moderate,10,19.0,153.0,0.2545857292266938,0.5057992873895698,0.4791762134983877,1.6112882836369946,4.924443517323405,12.186579577694529,0.035059,0.05,18.011462545454545,43.0,14.837637755678715,35.75328551662252,108.0,109.0,88.7,89.0,279.0416666666667,726.0,299.27900864378336,1073.8702962948255,71.0,53.0,36.0
texas,el paso,2025-03-03,2.299999,8.657865,0.7234320517990426,Hazardous,11,48.0,141.0,0.313927,0.604,0.1885089999999999,1.1,12.895833,37.1,0.042147,0.052,139.97694124999998,1033.0,5.226394614609333,18.4945992275118,1060.0,1107.0,775.954167,3434.8,192.37183564106869,524.276119278592,1060.406439,5207.2,157.0,91.0,73.0
texas,el paso,2025-04-18,2.1575696,2.6839294,0.7367937665118043,Hazardous,12,48.0,141.0,0.23310725,0.4,0.0291665,0.3,3.525,20.1,0.0421765,0.052,92.698958375,677.0,4.366808314228355,14.548815700409635,806.5,840.0,578.775,4632.1,202.15277454922497,541.2641098683013,806.7958335000001,6133.0,710.0,123.0,76.0
new mexico,dona ana,2025-03-06,1.966875,2.0941305,0.7564421551707111,Hazardous,13,35.0,13.0,0.422002304051995,0.7905053086688869,0.615076108362467,1.4769022822806992,10.3770835,46.8,0.0387178,0.046,184.8316667,1353.9,3.726802941968951,56.810232583477806,313.0,357.0,357.3400294030414,3225.2261160631506,202.4232333183289,542.1706343921436,313.4843516,2421.0,76.0,188.0,338.0
texas,el paso,2025-03-19,1.9648538,7.5974994,0.4760525191170005,Good,14,48.0,141.0,0.255698,0.5,-0.0180125,0.0,6.625109999999999,26.1,0.0329783333333333,0.049,4.275520875,18.2,3.222065447805885,12.099941665576532,37.5,38.0,29.379167,93.6,203.966540744116,547.8424051973476,38.175,120.2,2122.0,74.0,42.0
texas,el paso,2025-03-07,1.7478296,5.82365,0.6948638533851063,Hazardous,15,48.0,141.0,0.25585225,0.5,0.6442105,1.0,6.2104165,34.7,0.038853,0.045,44.95694442857143,557.0,4.207264440727735,11.691178123846694,527.0,527.0,2.022222,2.7,201.30342474589477,542.2414897695062,268.10347199999995,4809.0,446.0,208.0,383.0
texas,el paso,2025-04-28,1.6774882,1.4597671,0.6984963735460186,Unhealthy for Sensitive Groups,16,48.0,141.0,0.2442395,0.5,0.0065215,0.2,7.341667,36.4,0.036951,0.05,20.329166666666666,133.0,3.4659728109167034,9.74021536847416,133.5,155.0,82.633333,506.1,18.644942974358976,666.0,133.94791650000002,1136.7,1139.0,73.0,67.0
